code;plan;theme;titre;dispoCode;dispoTitre;public;objectifs;contenu;duree;effectif;abonnement
101427;ENS; ACTIONS CULTURELLES;Adage pour les débutants;25A0090669;ACL_12 @ ADAGE VISIOS FLASH;"Tous les enseignants et membres de la communauté  
éducative qui mènent des actions EAC.";Mieux utiliser ADAGE;"AUTRE CONTENU ARTS ET PATRIMOINE
Découvrir l'application ADAGE (Application Dédiée A 
la Généralisation de l'EAC) et ses potentialités, en 
particulier pour les enseignants et autres 
personnels qui mènent des projets en EAC. Prendre en 
main immédiatement la plateforme. Interagir avec les 
formateurs et les autres stagiaires.";2;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101427/tab/trainee/pill/individualTrainingPlan
101428;ENS; ACTIONS CULTURELLES;Projet EAC et ADAGE;25A0090669;ACL_12 @ ADAGE VISIOS FLASH;Tous les enseignants et membres de la communauté  éducative qui mènent des actions EAC.;Mieux utiliser ADAGE;"AUTRE CONTENU ARTS ET PATRIMOINE
Découvrir la plateforme ADAGE (Application dédiée à 
la généralisation de l'EAC) et plus particulièrement 
: les appels à projets, les dispositifs, les 
partenaires et les offres pass Culture. Inscrire son 
projet EAC sur ADAGE au bénéfice des élèves et de 
l'établissement. Identifier les personnes ressources 
de la DRAEAC.";2;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101428/tab/trainee/pill/individualTrainingPlan
101429;ENS; ACTIONS CULTURELLES;Projet musique et ADAGE;25A0090669;ACL_12 @ ADAGE VISIOS FLASH;Tous les enseignants et membres de la communauté  éducative qui mènent des actions EAC.;Découvrir la plateforme ADAGE (Application dédiée à la généralisation de l'EAC) et plus particulièrement : les appels à projets en éducation musicale et chant choral, les dispositifs, les partenaires et les offres pass Culture. Inscrire son projet EMCC sur ADAGE au bénéfice des élèves et de l'établissement. Identifier les personnes ressources de la DRAEAC.;"AUTRE CONTENU ARTS ET PATRIMOINE
Mieux utiliser ADAGE et mieux connaître le fonctionnement de la part collective du pass Culture au service de l'EMCC (éducation musicale et chant choral).";2;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101429/tab/trainee/pill/individualTrainingPlan
101431;ENS; ACTIONS CULTURELLES;Visio Flash Danse : rencontrer;25A0090669;ACL_12 @ ADAGE VISIOS FLASH;Enseignants de premier et du second degré, de toutes disciplines, intéressés pour mener un projet danse avec leurs élèves.;Développer le rapport aux œuvres dans la pratique de la danse en milieu scolaire. Aiguiser le regard critique et accompagner l'expérience de spectateur des élèves. Étendre l'utilisation d'ADAGE pour découvrir des partenaires cultures et des dispositifs. Construire et mettre en œuvre des projets en partenariat avec des artistes et des structures culturelles. Faire des projets EAC un levier pour la réussite des élèves.;"AUTRE CONTENU ARTS ET PATRIMOINE
Cette formation propose de réunir des collègues qui souhaitent favoriser la rencontre de leurs élèves avec des œuvres chorégraphiques. Ce premier rendez-vous, programmé en décembre et qui pourra être complété par deux autres dans l'année, abordera le spectacle chorégraphique comme support pour préparer les élèves à danser, pour nourrir leur pratique, pour aiguiser leur regard critique et élargir leurs représentations de la danse contemporaine. Les stagiaires pourront découvrir des ressources pour accompagner l'acquisition d'une culture chorégraphique et échanger avec un médiateur culturel pour envisager des rencontres avec des artistes et des lieux de diffusion";2;25;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101431/tab/trainee/pill/individualTrainingPlan
101441;ENS; ACTIONS CULTURELLES;Visio Flash Danse : faire danser;25A0090669;ACL_12 @ ADAGE VISIOS FLASH;Enseignants de premier et du second degré, de toutes disciplines, intéressés pour mener un projet danse avec leurs élèves.;Développer la pratique de la danse en milieu scolaire. Développer l'utilisation d'ADAGE pour découvrir un dispositif, pour répondre à un appel à projets et pour recenser les actions menées avec ses élèves. Sensibiliser à la pédagogie de projet mené en partenariat avec un artiste ou une structure culturelle. Faire des projets EAC un levier pour la réussite des élèves.;"AUTRE CONTENU ARTS ET PATRIMOINE
Cette formation propose de réunir des collègues qui souhaitent faire danser leurs élèves. Elle présentera des exemples de dispositifs nationaux ou académiques d'éducation artistique et culturelle en lien avec le champ chorégraphique. Les stagiaires pourront échanger avec un ou plusieurs porteurs de projets, avoir des exemples de mise en œuvre, découvrir des ressources pour lever certaines appréhensions ou dépasser certaines difficultés à développer la danse à l'école. Ce rendez-vous, programmé en février-mars, pourra prolonger une première visio de décembre sur le rapport aux œuvres chorégraphiques, mais il est possible de participer à ce module sans ce pré-requis.";2;25;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101441/tab/trainee/pill/individualTrainingPlan
101444;ENS; ACTIONS CULTURELLES;Visio Flash Danse : valoriser un projet;25A0090669;ACL_12 @ ADAGE VISIOS FLASH;Tous les enseignants et membres de la communauté  éducative qui mènent des actions EAC.;Développer la pratique de la danse en milieu scolaire. Développer l'utilisation d'ADAGE pour recenser les actions menées avec ses élèves et compléter des bilans. Sensibiliser à la pédagogie de projet mené en partenariat avec des artistes ou des structures culturelles. Faire des projets EAC un levier pour la réussite des élèves. Développer le lien avec les familles.;"AUTRE CONTENU ARTS ET PATRIMOINE
Cette formation propose de réunir des collègues qui souhaitent valoriser un projet danse mené avec leurs élèves. Elle présentera des exemples de traces possibles pour finaliser ou rendre compte d'expériences menées. Les stagiaires pourront échanger avec des porteurs de projets ou des médiateurs culturels. Ce rendez-vous, programmé en mai 2026, pourra prolonger deux premières visios qui auront eu lieu en décembre sur le rapport aux œuvres chorégraphiques et en mars sur la pratique de la danse, mais il est possible de participer à ce module sans ces pré-requis.";2;25;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101444/tab/trainee/pill/individualTrainingPlan
101445;ENS; ACTIONS CULTURELLES;"Danse et expérience de l&#8217;altérité";25A0090328;ACL_08 @ DISPOSITIFS EAC (PUBLIC VOLONTAIRE);"Enseignants du second degré, toutes disciplines confondues, personnels de la communauté éducative qui souhaitent 
amener leurs élèves à rencontrer le spectacle vivant, et plus particulièrement, la création chorégraphique dans le 
cadre d'un projet EAC.";Vivre en acte des démarches de création artistique. Développer la pratique artistique en classe et l'articuler avec des visées éducatives ancrées sur l'expérience de l'altérité. Partager des connaissances en culture chorégraphique et en pédagogie de projet, formaliser des contenus d'enseignement et diffuser des ressources pour enrichir les projets danse en milieu scolaire dans sa dimension artistique. Accompagner les enseignants dans la mise en œuvre de projets chorégraphiques menés en partenariat avec des artistes et des professionnels de la culture.;"AUTRE CONTENU ARTS ET PATRIMOINE
Ce stage prévoit de partir à la rencontre de la danse contemporaine en découvrant la démarche de création de Bruno Pradet, chorégraphe de la compagnie Vilcanota, pour son dernier spectacle, « De loin, si près », programmé le mardi 03 février 2026 au Bateau Feu, scène nationale de Dunkerque. En participant à un temps de pratique, les stagiaires pourront traverser des expériences sensibles : ateliers d'improvisation guidée, expérimentations dansées pour incarner différents états de corps. En complément de cet atelier, ils pourront échanger avec l'artiste intervenant sur son expérience de danseur interprète dans une pièce de groupe qui explore la place de l'individu dans le collectif. Il s'agira aussi d'apporter des références de culture chorégraphique en lien avec cette thématique.";4;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101445/tab/trainee/pill/individualTrainingPlan
101448;ENS; ACTIONS CULTURELLES;LP et EAC, un pari gagnant !;25A0090328;ACL_08 @ DISPOSITIFS EAC (PUBLIC VOLONTAIRE);Tout enseignant de lycée professionnel des disciplines générales et professionnelles.;Échanger et mutualiser des modalités de mise en œuvre de projets EAC, y compris en interdisciplinarité. Co-construire des projets avec des partenaires culturels et artistiques. Viser le 100% EAC.;"AUTRE CONTENU ARTS ET PATRIMOINE
Ce module a pour vocation de concevoir un projet EAC pour les élèves de lycée professionnel de toutes spécialités en s'appuyant sur les spécificités des disciplines générales et professionnelles. Il s'appuie également sur les modalités pédagogiques spécifiques au LP et leur lien avec le Parcours d'Éducation Artistique et Culturelle.
Ensuite, il s'agit de dresser un bilan des projets EAC menés, d'identifier les leviers et les freins. Enfin, les enseignants s'approprient les possibilités d'inscription des classes aux dispositifs académiques, régionaux et nationaux.";3;25;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101448/tab/trainee/pill/individualTrainingPlan
101449;ENS; ACTIONS CULTURELLES;Patrimoine(s) et jeu théâtral;25A0090328;ACL_08 @ DISPOSITIFS EAC (PUBLIC VOLONTAIRE);PV. Enseignants de toutes disciplines de collège et lycée;Former les enseignants à appréhender autrement le patrimoine (lieux, bâtiments, œuvres). Aborder la question du matériel et de l'immatériel. Donner des outils concrets de travail avec les élèves (pratique du jeu théâtral avec une compagnie professionnelle).;"CINEMA, DANSE, THEATRE
Inventer, en s'appropriant par la visite et en pratiquant le théâtre, de nouvelles approches et de nouvelles médiations autour du patrimoine et des lieux patrimoniaux.";5;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101449/tab/trainee/pill/individualTrainingPlan
101450;ENS; ACTIONS CULTURELLES;Participer au festival Sériea mania;25A0090328;ACL_08 @ DISPOSITIFS EAC (PUBLIC VOLONTAIRE);Professeurs de différentes disciplines (de collège, lycées GT et lycées professionnels);Appréhender et exploiter en classe les séries et le festival.;"AUTRE CONTENU NUMERIQUE ET SYSTEMES D'INFORMATION
Les stagiaires vivront 4 temps autour du Festival Séries Mania : une visio d'1h30 pour introduire les spécificités du langage sériel et cinématographique. Une journée d'immersion avec projections de pilotes, échanges avec les équipes. Un troisième temps comprendra plusieurs modalités d'intervention : apports théoriques sur les démarches d'analyse filmique en lien avec des objectifs littéraires, historiques, économiques, présentations de pratiques pédagogiques et restitution de travaux d'élèves, des échanges entre formateurs et stagiaires ainsi qu'un travail en petits groupes pour élaborer des séquences pédagogiques autour d'une notion, d'une compétence transversale ou de l'apport d'un festival comme levier didactique.
La dernière étape à distance sera dédiée au partage d'un retour sur expérience pour impulser une dynamique collaborative en vue de prolongements dans les classes ou dans le cadre de projets culturels plus larges.";12;30;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101450/tab/trainee/pill/individualTrainingPlan
101451;ENS; ACTIONS CULTURELLES;Créer une fiction radiophonique;25A0090328;ACL_08 @ DISPOSITIFS EAC (PUBLIC VOLONTAIRE);"Enseignants de tous niveaux et de toutes disciplines ; personnels de vie scolaire";Suivre avec un artiste et un intervenant EMI tout le processus de création et de réalisation d'un podcast intégrant la fiction dans la démarche de production. Former les enseignants par des pratiques d'oral et de théâtre à créer des podcasts, des enregistrements sonores avec les élèves.;"CINEMA, DANSE, THEATRE
Découvrir le matériel nécessaire à la création de podcast et en apprendre l'usage en visio et en présentiel avec le CLEMI et un artiste. Faire de la pratique de théâtre et d'oral en s'appuyant sur l'écrit pour créer une fiction sonore. Pratiquer les techniques d'enregistrement et de montage pour finaliser la fiction.";5;20;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101451/tab/trainee/pill/individualTrainingPlan
101452;ENS; ACTIONS CULTURELLES;Acteur du livre en classe;25A0090328;ACL_08 @ DISPOSITIFS EAC (PUBLIC VOLONTAIRE);Public volontaire.  Enseignants de toutes disciplines ayant une appétence pour la littérature française et étrangère et l'univers du livre,  dans son enseignement et souhaitant connaître et rencontrer les acteurs du Livre de notre région.;Apprendre à connaître et à pratiquer les dispositifs LIVRE et LECTURE. Rencontrer les acteurs du livre et de la lecture des HDF, partenaires privilégiés. Connaître les éditeurs des HDF et mettre en lien leurs publications avec les enseignements. Enrichir son enseignement en proposant des activités créatives, en offrant la possibilité de faire intervenir en classe des professionnels du livre, notamment des auteurs. Encourager la pratique de la lecture et de l'écriture;"AUTRE CONTENU ARTS ET PATRIMOINE
Conférences, ateliers et forum avec des professionnels des Hauts-de-France (auteurs, éditeurs, libraires et médiathécaires,
associations du livre et de la lecture, partenaires territoriaux et DRAC).";6;50;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101452/tab/trainee/pill/individualTrainingPlan
101453;ENS; ACTIONS CULTURELLES;Le carnaval, un patrimoine riche d'enseignement;25A0090328;ACL_08 @ DISPOSITIFS EAC (PUBLIC VOLONTAIRE);Enseignants et CPE des collèges et lycées publics autour du bassin 5;"Utiliser le carnaval, patrimoine immatériel, comme entrée originale dans les programmes scolaires. Faire de cet événement une occasion de réfléchir à nos pratiques citoyennes. Ouvrir tous les enseignements sur l'extérieur en construisant des partenariats. Travailler la créativité des élèves en étudiant un patrimoine toujours vivant.
Construire un projet en EAC.";"PATRIMOINE ET RICHESSES CULTURELLES
Les élèves du Dunkerquois connaissent le carnaval et y participent peut-être aussi, tout comme leurs enseignants. Il est d'ailleurs possible qu'ils s'y croisent le temps des manifestations. Cependant, l'événement est rarement l'occasion d'une réflexion en classe sur ses origines, son sens, ses règles, et il est tout aussi rarement choisi comme entrée possible pour traiter les programmes. Ainsi, les élèves n'ont pas toujours conscience de prendre part à un patrimoine toujours vivant, fort de valeurs partagées. Cette formation a pour but d'apporter aux enseignants des pistes de réflexion pour entrer de manière originale dans les programmes scolaires et de rendre au carnaval son épaisseur historique et sociale. Elle revient sur les notions fondamentales de la construction de projet.";6;25;https://eduline.ac-lille.fr/sofia-fmo-acad//default/extmodule/subscriptionadd/extModuleId/101453/tab/trainee/pill/individualTrainingPlan
